Название,ID,Детальная картинка,Детальное описание,Минимальная цена,Рейтинг
6363А-1172010 ОНВ УРАЛ,14506,http://agregatekb.ru/upload/iblock/cbc/cbc3b14cf5bc0fd62cf4db5383fa795e.jpg,6363А-1172010 ОНВ УРАЛ,31638,3.3
"6363-8101060-01 Радиатор отоп.УРАЛ-3255-59,4320-58,44202-59,55571-58,532301,532302,632302,63674,6368",14507,http://agregatekb.ru/upload/iblock/f3a/f3ae5d6ead2db7d6a11a77d6285a6f87.jpg,"6363-8101060-01 Радиатор отоп.УРАЛ-3255-59,4320-58,44202-59,55571-58,532301,532302,632302,63674,6368",4130,
"63501Ш-1301010-10 Радиатор водяной 3-х рядный медно-латунный, а/м Камского автозавода 53605, 6350, 6450, 65201, 65221, 65224 с двиг. -740, -750 (ШААЗ)",14509,http://agregatekb.ru/upload/iblock/b83/b83a4aab9548d954ed87bd46e4d4135a.jpg,"Наименование: 63501Ш-1301010-10 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 204 (175400) Емкость, л: 8 Габариты (д*ш*в), мм: 696х176х1057 Масса, кг: 31.9 Применение: автомобили Камского автозавода 53605, 6350, 6450, 65201, 65221, 65224 с двигателем -740, -750 Дополнительно: 6350, 63501, 63502, 6450 с дв. 740.50-360, 740.51-320 63501 (прямая рама) с дв. 740.602-360, 740.612-320, 750.16-360 6350 (серийная рама) с дв. 740.60-360 65221, 65222, 65224, 63501 с дв. 740.50-360 53605, 65201 с дв. 740.62-280",37012,3.3
"63501А-1301010 Радиатор алюминиевый 2-х рядный а/м Камского автозавода 53605, 6350, 6450, 65201, 65221, 65224 с двигателем 740, 750 (ШААЗ)",14510,http://agregatekb.ru/upload/iblock/618/6181ada71eddf4be4dfcbcbd95d601e1.jpg,"Наименование: 63501А-1301010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 204 (175408) Емкость, л: 9 Габариты (д*ш*в), мм: 696х101х1041 Масса, кг: 26 Применение: а/м Камского автозавода 53605, 6350, 6450, 65201, 65221, 65224 с двигателем 740, 750 Дополнительно: 6350, 63501, 63502, 6450 с дв. 740.50-360, 740.51-320 63501 (прямая рама) с дв. 740.602-360, 740.612-320, 750.16-360 6350 (серийная рама) с дв. 740.60-360 65221, 65222, 65224, 63501 с дв. 740.50-360 53605, 65201 с дв. 740.62-280",28621,3.2
6329-1301010 УРАЛ - IVECO,14511,http://agregatekb.ru/upload/iblock/b3c/b3c89f97d3a82309f45505da2ebf79fe.jpg,6329-1301010 УРАЛ - IVECO,32480,
6212-1301010-10 Радиатор системы охлаждения медный 3-х рядный (CuproBraze) ЛИАЗ-6212 дв. Caterpillar ЕВРО-3 (ШААЗ),14514,http://agregatekb.ru/upload/iblock/56f/56f3909864794c6f255a9d233a1e5407.jpg,"Наименование: 6212-1301010-10 Технология изготовления: традиционная Исполнение радиатора: медно-латунное Конструкция сердцевины: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 178 (152990) Емкость, л: 8 Габариты (д*ш*в), мм: 742х170х906 Масса, кг: 24 Применение: автобусы ЛиАЗ-6212 с двигателем Caterpillar 3126",29430,
5551А2-1301010-001 радиатор водяной МАЗ 5551А2 (Евро 3) 3 ряд CuproBraze,14518,http://agregatekb.ru/upload/iblock/9b9/9b9622219ddeec2efdc456f9a84d64d9.jpg,5551А2-1301010-001 радиатор водяной МАЗ(Евро 3),37070,
555132А-1301010 Радиатор водяной Маз с дв.Deitz BF 1013 FC (евро3),14519,http://agregatekb.ru/upload/iblock/1a6/1a67f1f81f516b8d82d73d3a0eee90aa.jpg,555132А-1301010 Радиатор водяной Маз с дв.Deitz BF 1013 FC (евро3),28660,
"5551-1301010ВВ Радиатор водяной Маз 5337,5433 (ЯМЗ 236)",14520,http://agregatekb.ru/upload/iblock/579/579ba9986d8cc7c5f63995699c15d9a9.jpg,"5551-1301010ВВ Радиатор водяной Маз 5337,5433 (ЯМЗ 236)",27140,
"5550В3А-1702010 ОНВ МАЗ 5340В2,5550В3,5340В5,с дв. 5363.10,5361.10,536.10(Е 4)",14521,http://agregatekb.ru/upload/iblock/f5a/f5a53278bf2b4e9683e90692abf36ea9.jpg,"5550В3А-1702010 ОНВ МАЗ 5340В2,5550В3,5340В5,с дв. 5363.10,5361.10,536.10(Евро 4)",19408,3.2
"5550В3А-1301010 радиатор вод. 2-х рядн. МАЗ 5340В2,5550В3,5340В5,с дв. 5363.10,5361.10,536.10 (Е-4)",14522,http://agregatekb.ru/upload/iblock/33b/33b5d61ba1e408af9e5a1c2c8bd4330f.jpg,"5550В3А-1301010 радиатор вод. 2-х рядн. МАЗ 5340В2,5550В3,5340В5,с дв. 5363.10,5361.10,536.10 (Е-4)",26120,
5480Ш-1301010 Радиатор водяной 3-х рядный медно-латунный CuproBraze а/м Камского автозавода мод. 5480 и модиф. (ШААЗ),14526,http://agregatekb.ru/upload/iblock/7e9/7e9604788862ee8df68749be565a8ae9.jpg,"Наименование: 5480Ш-1301010 Технология изготовления: CuproBraze Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 215 (185000) Емкость, л: 8 Габариты (д*ш*в), мм: 696х174х1148 Масса, кг: 22 Применяемость: автомобили Камского автозавода, модель -6522, -6560, -7330 с двигателем 740, двигателем Cummins Дополнительно: -65221, 65222, 65224, 6560 с двигателем 740.37-400, 740.63-400 -65224, 6560, 65221, 65222, 6522 с двигателем 740.632-400, 750.13-400 -6560 с двигателем 740.37-400 -7330 (10×4 кран) с двигателем Cummins 6ISLe 400",40619,3.2
5480Ш-1172010 ОНВ для а/м Камского автозавода (ШААЗ),14527,http://agregatekb.ru/upload/iblock/462/4623e8c31fb8966b70a7be54ab893b13.jpg,5480Ш-1172010 ОНВ,36930,
"5480А-1172010 ОНВ алюминиевый 1-но рядный для а/м Камского автозавода, модель -5460, -6460, -6520, -6522, -65201, -65225 с двигателем Cummins, двигателем 740 (ШААЗ)",14528,http://agregatekb.ru/upload/iblock/282/28247eb10412ca36abd542aa19c22e73.jpg,"Наименование: 5480А-1172010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 1 Габариты д*ш*в, мм: 1040х134х810 Масса, кг: 19 Применяемость: автомобили Камского автозавода, модель -5460, -6460, -6520, -6522, -65201, -65225 с двигателем Cummins, двигателем 740 Дополнительно: -5460, 6460 дв. 740.73-400, 740.74-420 -5460, 6460, 6520, 65201, 6522, 65225 с дв. 740.37-400, 740.63-400 -5460 с дв. 740.63-400 -6520, 65201 с дв. Cummins 6ISLe4-400, ISL8.9е5-400 -6520, 5460, 6460 (прав. руль с кондиц.) с дв. 740.61-320, 740.60-360, 740.62-280 -7360 (10×10 кран) с дв. 740.632-400 -6520, 65201, 6522, 65225, 6460, 5460 с дв. 740.73-400, 740.74-420 -6520, 65201, 6522, 65225, 6460, 5460 (с кондиционером) с дв. 740.73-400, 740.74-420 -65225 с дв. 740.37-400",37789,3.3
5460Ш-1301010 Радиатор водяной медно-латунный 3-х рядный CuproBraze для а/м Камского автозавода 5460 и мод. (ШААЗ),14530,http://agregatekb.ru/upload/iblock/73f/73f060f7bbfc1489ee5c0cd3f61b0dbb.jpg,"Наименование: 5460Ш-1301010 Технология изготовления: CuproBraze Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 240 (206400) Емкость, л: 8 Габариты (д*ш*в), мм: 738х174х1148 Масса, кг: 29 Применяемость: автомобили Камского автозавода, модель 5460, 6460, 6520, 6522, 65201, 65225 с двигателем 740, Cummins, Cummins QSX Дополнительно: -5460, 6460 с дв. 740.73-400, 740.74-420 -5460, 6460, 6520, 65201, 6522, 65225 c дв. 740.37-400, 740.63-400 -5460 c дв. 740.63-400 -6520, 5460, 6460 (прав. руль с кондиц.) c дв. 740.61-320, 740.60-360, 740.62-280 -7360 (10×10 кран) c дв. 740.632-400 -6520, 65201, 6522, 65225, 6460, 5460 с дв. 740.73-400, 740.74-420 -6520, 65201, 6522, 65225, 6460, 5460 (с кондиц.) с дв. 740.73-400, 740.74-420 -65225 с дв. 740.37-400 -6520, 65201 с дв. Cummins 6ISLe4-400, ISL8.9е5-400 -65226, 65228 с дв. Cummins QSX 15-560, QSX 15-600",44598,3.11
"5460А-1301010 Радиатор водяной, алюминиевый 2-х рядный",14531,http://agregatekb.ru/upload/iblock/8a7/8a7d4298ed43cb5ca45e2c9531658bbc.jpg,"5460А-1301010 Радиатор водяной, алюминиевый 2-х рядный",33330,
Алюминиевый 2-х рядный радиатор охлаждения 5440В9А-1301010-10 МАЗ Евро-4 с дв.ЯМЗ-651.10 и 6511.10 (ШААЗ),14532,http://agregatekb.ru/upload/iblock/0db/0db3b81a04d2889952ec271762bc7ea8.jpg,"Наименование: 5440В9А-1301010-10 Технология изготовления: NOCOLOK Исполнение радиатора: алюминиевое Конструкция сердцевины: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 260 (223560) Емкость, л.: 9.7 Габариты (д*ш*в), мм.: 806х106х1202 Масса, кг.: 27 Применение: автомобили МАЗ 6430В9, 6312В9, 6501В9, 5340В9, 5440В9, 5440А9, 6418В9, 6432В9, 6516В9 с двигателем ЯМЗ 651.10",35137,
5440В9-1301010-002 (Таспо) Маз-5440В9-6312В9 ЯМЗ-651.10,14533,http://agregatekb.ru/upload/iblock/21f/21f432923cae9bdb0ebf10e922b3770d.jpg,5440В9-1301010-002 (Таспо) Маз-5440В9-6312В9 ЯМЗ-651.10,33690,
5432А5-1301010-001 радиатор водяной МАЗ 5432А5 (Евро 3) 4 ряд,14535,http://agregatekb.ru/upload/iblock/410/410e1fe7fb605384e30041b824a904a7.jpg,5432А5-1301010-001 радиатор водяной МАЗ 4 ряд. (ШААЗ),40164,3.3
"5432А5-1172010 ОНВ алюминиевый 1-но рядный (Nocolok), для МАЗ-534004, 5516А5 с двигателем ЯМЗ-6561.10, 6562.10, 6582.10 (Евро-3)",14536,http://agregatekb.ru/upload/iblock/64f/64f6e31fca6b74183a285f984dbddfa6.jpg,"Охладитель наддувочного воздуха предназначен для охлаждения воздуха, подаваемого турбокомпрессором в систему питания двигателя. Наименование: 5432А5-1172010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 1 Габариты д*ш*в, мм: 819х167х962 Масса, кг: 15 Марка а/м: МАЗ Модель а/м: МАЗ-534004, 5516А5 с дв. ЯМЗ-6561.10, 6562.10, 6582.10 (Евро-3)",16744,3.3
5432А5 А-1301010 радиатор водяной МАЗ Nocolok алюм.,14537,http://agregatekb.ru/upload/iblock/537/537db019ca4d3396a05e000197d84d27.jpg,5432А5 А-1301010 радиатор водяной МАЗ Nocolok,26540,
"54325-1301010 Радиатор водяной 4-х рядный медно-латунный автомобили МАЗ 54323, 6303, 64255, 54329, 55513 с двигателем ЯМЗ-238Д, ЯМЗ-238М2 (ШААЗ)",14538,http://agregatekb.ru/upload/iblock/1f1/1f13882a4e87e22f97581f3b234c4005.jpg,"Наименование: 54325-1301010 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 4 Теплоотдача, кВт (ккал/ч): 116,3 (100000) Емкость, л: 7.5 Габариты (д*ш*в), мм: 859х172х867,5 Масса, кг: 32 Применение: автомобили МАЗ 54323, 6303, 64255, 54329, 55513 с двигателем ЯМЗ-238Д, ЯМЗ-238М2 Дополнительно: МАЗ 54323, 64229 дв. ЯМЗ 238Д МАЗ 53363, 6303 дв. ЯМЗ 238Д МАЗ 5516, 64255 дв. ЯМЗ 238Д МАЗ 54329, 53366 дв. ЯМЗ 238М2 МАЗ 55514, 55513 дв. ЯМЗ 238М2",32260,
"543208А-1301010 Радиатор водяной 2-х рядный алюминиевый, а/м МАЗ (двиг. ЯМЗ-7511) (ШААЗ)",14540,http://agregatekb.ru/upload/iblock/84c/84c490ef4ec3063523911ad80845c14f.jpg,543208А-1301010 Радиатор водяной 2-х рядный алюминиевый Применяется: автомобили МАЗ с двигателем ЯМЗ-7511,33070,
543208-1301010-001 радиатор водяной МАЗ (ЯМЗ 7511),14541,http://agregatekb.ru/upload/iblock/7fc/7fcccc244d938bd0833dcb47beadd9b3.jpg,543208-1301010-001 радиатор водяной МАЗ (ЯМЗ 7511) (ШААЗ),39284,3.3
"54115ш-1301010-11 Радиатор водяной 3-х рядный медно-латунный для а/м Камского автозавода 4308, 4308-А3, 43253, 43255, 5308, 53082 с двигателем Cummins (ШААЗ)",14542,http://agregatekb.ru/upload/iblock/d5f/d5fc0056320c0ce46b07507c2f290203.jpg,"Наименование: 54115Ш-1301010-11 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 151 (130000) Емкость, л: 6.8 Габариты (д*ш*в), мм: 742х169,5х824,5 Масса, кг: 24 Применение: а/м Камского автозавода 4308, 4308-А3, 43253, 43255, 5308, 53082 с двигателем Cummins Дополнительно: 4308 дв. Cummins 4ISBe 185, 4ISBe4 185, 6ISBe 210, 6ISBe 245 4308 автобус дв. Cummins 6ISBe4 210В 5308 дв. Cummins 6ISBe 285 43253, 43255 дв. Cummins 4ISBe 185, 4ISBe4 185, 6ISBe 210 65115 дв. Cummins 6ISBe 285 4308, 5308, 53082 дв. Cummins 6ISBe4 245 43253, 43255, 4308-А3 дв. Cummins 6ISBe 210…285",21802,3.3
54115ш-1301010-01 Радиатор водяной медно-латунный 3-х рядный (Евро-2),14543,http://agregatekb.ru/upload/iblock/0a5/0a55f23aaadcabb88f024d62420657d8.jpg,"54115ш-1301010-01 Радиатор водяной медно-латунный 3-х рядный (Евро-2) Применяемость: 43113, 43118, 4326, 53212, 5350, 54115, 65111, 6540 с двигателем 740, 820",21930,
"54115А-1301010 Радиатор водяной алюминиевый 2-х рядный, а/м Камского автозавода, модели 43113, 43118, 4326, 53212, 5350, 54115, 65111, 6540 с двигателем 740, 820 (ШААЗ)",14544,http://agregatekb.ru/upload/iblock/613/613791c1534f40b8421884abd3385fc5.jpg,"Наименование: 54115А-1301010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 151 (130000) Емкость, л: 6.8 Габариты (д*ш*в), мм: 742х91х831 Масса, кг: 17.5 Применение: автомобили Камского автозавода, модели 43113, 43118, 4326, 53212, 5350, 54115, 65111, 6540 с двигателем 740, 820 Дополнительно: 43113 с дв. 7403.10 54115 с дв. 740.50-360 55111, 53215, 53229 с дв. 740.11-240 5350 с дв. 740.30-260, 740.31-240 43114, 43118, 43253, 43255, 4326, 4350, 43501 с дв. 740.30-260, 740.31-240, 820.60-260 44108, 53212, 53215, 53228, 53229, 53212, 53215, 53228, 53229 с дв. 740.30-260, 740.31-240, 820.60-260 5350, 53501, 53502, 53503, 53504, 53505, 54115, 55111 с дв. 740.30-260, 740.31-240, 820.60-260 65111, 65115, 65116, 65117, 6540 с дв. 740.30-260, 740.31-240, 820.60-260",17257,3.3
54115-1301010-10 Радиатор водяной 3-х рядный медно-латунный для а/м Камского автозавода -54115 и ее модификации (ШААЗ),14545,http://agregatekb.ru/upload/iblock/052/052060f780400f3c52927270504e7ce8.jpg,"Артикул: 54115-1301010-10 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 151 (130000) Емкость, л: 8 Габариты (д*ш*в), мм: 742х170,5х824 Масса, кг: 21.5 Применение: автомобили Камского автозавода модель -54115 и ее модификации",21930,
540-1301010 Радиатор БелАЗ (800 мм),14549,http://agregatekb.ru/upload/iblock/05e/05edf65ef71061cd5f6bc477a0a0d745.jpg,540-1301010 Радиатор БелАЗ (800 мм),91020,
"53371-1301010 Радиатор водяной (МАЗ-53371,5551,54341)",14550,http://agregatekb.ru/upload/iblock/997/99742ff991ce72e1312269616cae204d.jpg,"53371-1301010 (3-х ряд) Радиатор вод.МАЗ5433,54328",19920,
"53371-1301010 - 10 Радиатор водяной (МАЗ-53371,54328,5433)",14551,http://agregatekb.ru/upload/iblock/274/274692a81078c52bac983c1bba05aff9.jpg,"53371-1301010 -10 (3-х ряд) Радиатор вод.МАЗ5433,54328",20980,
"5323Я-1301010 Радиатор водяной (УРАЛ-5323,4320) 4 р.",14552,http://agregatekb.ru/upload/iblock/a59/a59f80b6493e4f6d2cc3ae8bb56bb7a5.jpg,"5323Я-1301010 Рад. вод.4-х ряд Урал-5323,4320 с дв. ЯМЗ",25456,3.3
5323Е-1301010-10 Радиатор водяной,14555,http://agregatekb.ru/upload/iblock/a86/a86a8a7e1996718325338457acaf6b33.jpg,5323Е-1301010-10 Радиатор водяной,37480,
532301-1301010ВВ Радиатор водяной Урал (3-х рядный),14556,http://agregatekb.ru/upload/iblock/1a7/1a7f81f8cd7cf3a2ebecc238ef603d38.jpg,532301-1301010ВВ Радиатор водяной Урал (3-х рядный),36980,
5323-1301010-40 Радиатор водяной,14557,http://agregatekb.ru/upload/iblock/98e/98eb3415db5953f32de26e3284a8c0ce.jpg,"5323-1301010-40 Радиатор водяной, УРАЛ-375 с карбюраторным двигателем",36276,3.3
5323-1301010 Радиатор водяной 4-х рядный медно-латунный Урал с двиг. Камского автозавода (ШААЗ),14558,http://agregatekb.ru/upload/iblock/6a9/6a9a7af5624eb952a8fe7c921a7d5bb5.jpg,"Наименование: 5323-1301010 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 4 Теплоотдача, кВт (ккал/ч): 100,46 (86400) Емкость, л: 8 Габариты (д*ш*в), мм: 783x149x727 Масса, кг: 20 Марка а/м: УРАЛ Модель а/м: 5323, 4320 и модификации",28441,3.11
"5320Ш-8101060 Радиатор отопителя медный 4-х рядный, НефАЗ (ШААЗ)",14559,http://agregatekb.ru/upload/iblock/421/421aceaa9cd443ecb0e7a79e6f9ec5ae.jpg,"Наименование: 5320Ш-8101060 Технология изготовления: Традиционная технология Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 4 Теплоотдача, кВт (ккал/ч): 9,3 (8000) Емкость, л: 1,3 Габариты (д*ш*в), мм: 429х91х181 Масса, кг: 3 Применение: автобусы НефАЗ",4150,
"5320Ш-1301010-33 Радиатор водяной 3-х рядный медно-латунный, а/м Камского автозавода модель -4308 и ее модификации с двигателем Сummins B5.9 180 (ШААЗ)",14560,http://agregatekb.ru/upload/iblock/291/291ab2243ccbcf2e6ab5ad86da975af4.jpg,"Наименование: 5320Ш-1301010-33 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 102,79 (88400) Емкость, л: 7.5 Габариты (д*ш*в), мм: 742х169,5х823,5 Масса, кг: 21.5 Применяемость: автомобили Камского автозавода модель -4308 и ее модификации с двигателем Сummins B5.9 180",21167,3.2
"53205А-1172010 ОНВ алюминиевый 1-но рядный NOCOLOK для а/м Камского автозавода, модель -43114, 43118, 4326, 43501, 44108, 53212, 54115, 65111, 65115, 6540 с двигателем 740, 820 (ШААЗ)",14561,http://agregatekb.ru/upload/iblock/d98/d981024bac557cb08dbd1390f391c834.jpg,"Артикул: 53205А-1172010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 1 Габариты д*ш*в, мм: 928х350х626 Масса, кг: 16 Применение: автомобили Камского автозавода, модель -43114, 43118, 4326, 43501, 44108, 53212, 54115, 65111, 65115, 6540 с двигателем 740, 820 Дополнительно: 43114, 43118, 43253, 43255,4326, 4350, 43501, 44108 дв. 740.30-260, 740.31-240, 820.60-260 53212, 53215, 53228, 53229 дв. 740.30-260, 740.31-240, 820.60-260 5350, 53501, 53502, 53503, 53504, 53505, 54115, 55111 с дв. 740.30-260, 740.31-240, 820.60-260 65111, 65115, 65116, 65117, 6540 с дв. 740.30-260, 740.31-240, 820.60-260 43269 с кондиционером с дв. 740.652-260 53501, 53504, 43118, 44108, 65111 с дв. 740.662-300 65115, 65116, 65117, 43118, 43114 газ с дв. 820.73-300, 820.62-300 65115, 65116, 65117, 43118 газ с дв. 820.92-300 43118, 44108 с дв. 740.55-300 53229, 6426, 65111, 65115,65116, 65117, 6540 с дв. 740.62-280 65115, 65116, 43114 газ с дв. 820.60-260 4350, 5350, 65111, 43502 с дв. 740.652-260, 740.622-280. 5350 газ с дв. 820.90-260",26168,3.3
5320-8101060-04 Радиатор отопителя медно-латунный 4-х рядный для а/м Камского автозавода -5320 (ШААЗ),14563,http://agregatekb.ru/upload/iblock/4d6/4d653df8ab2a766b90faf0e4e69fee1d.jpg,"Наименование: Радиатор отопителя Артикул: 5320-8101060-04 Технология изготовления: Традиционная технология Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 4 Теплоотдача, кВт (ккал/ч): 9,3 (8000) Емкость, л: 1,3 Габариты (д*ш*в), мм: 456х91,6х182 Масса, кг: 3 Применение: автомобили Камского автозавода модель -5320 и модификации",3670,
"5320-1301010-20 Радиатор охлаждения медно-латунный 3-х рядный, а/м Камского автозавода мод. -5320 и мод. (ШААЗ)",14564,http://agregatekb.ru/upload/iblock/073/0736d3affa7387c61275bb4f7503c5d7.jpg,"5320-1301010-20 Радиатор систему охлаждения медно-латунный 3-х рядный Исполнение: с дополнительным кронштейном внизу рамки Применяемость: автомобили Камского автозавода, мод. -5320 и модификации",19800,
5320-1301010 Радиатор водяной 3-х рядный медно-латунный для а/м Камского автозавода с двиг. 740 (ШААЗ),14565,http://agregatekb.ru/upload/iblock/20b/20bcf3e091d508b4da70e68f69d338da.jpg,"Наименование: 5320-1301010 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 3 Теплоотдача, кВт (ккал/ч): 102,79 (88400) Емкость, л: 7.5 Габариты (д*ш*в), мм: 742х205х825 Масса, кг: 19.5 Применение: автомобили Камского автозавода модель -5320 и ее модификации.",19324,3.3
530-1301020-Б Блок радиатора водяноого (на спецтехнику),14566,http://agregatekb.ru/upload/iblock/0bf/0bf61df3277b96554fec35cb721ceff4.jpg,530-1301020-Б Блок радиатора водяного (на спецтехнику),145110,
530-1301010-11 Радиатор водяной (на дизель-генераторы),14567,http://agregatekb.ru/upload/iblock/a9b/a9b4772cdceb954043e124ff92c93fa2.jpg,530-1301010-11 Радиатор водяной (на дизель-генератор,181620,
5297ш-1301010-10 НЕФАЗ-5297 радиатор,14570,http://agregatekb.ru/upload/iblock/12a/12aee93272fcf1197131ea34180b1cdd.jpg,5297ш-1301010-10 НЕФАЗ-5297 радиатор,30280,
5297А-1301010 Радиатор водяной алюминиевый НЕФАЗ-5297 (ШААЗ),14571,http://agregatekb.ru/upload/iblock/7e7/7e7d20e34d5ff8303a8b224befcde68a.jpg,"Заводское наименование: 5297А-1301010 Технология изготовления: NOCOLOK Исполнение радиатора: алюминиевое Конструкция сердцевины: трубчато-ленточная Рядность: 2 ряда Теплоотдача, кВт (ккал/ч): 178 (153000) Емкость, л: 8.8 Габариты (д*ш*в), мм: 696х163х942 Масса, кг: 22 Применение: автобус НефАЗ 5299",22778,3.2
5256-8101010 Отопитель в сборе,14574,http://agregatekb.ru/upload/iblock/ee3/ee3760d808267eedc489776558891f3f.jpg,5256-8101010 Отопитель в сборе,7370,
5256-1301010 Радиатор водяной (ЛИАЗ-5256),14575,http://agregatekb.ru/upload/iblock/b59/b59d6bad7e6ac3a4300dc0c045e54742.jpg,5256-1301010 Радиатор водяной ЛИАЗ-5256 3 ряд.,27140,
51А-1301010 Радиатор водяной ГАЗ-51,14576,http://agregatekb.ru/upload/iblock/1fe/1fe91192752aedffe97b3ee99a40b2aa.jpg,51А-1301010 Радиатор водяной ГАЗ-51,24580,
500-1301010-02 Радиатор вод (МАЗ-500 4-х ряд),14579,http://agregatekb.ru/upload/iblock/857/85798f40a2e2cc49ad54ebcc8973e2fa.jpg,500-1301010-02 Радиатор вод (МАЗ-500 4-х ряд),31460,
437030А-1301010 Радиатор водяной алюминиевый МАЗ-437030 с дв. «Deitz» 2-х рядный (ШААЗ),14580,http://agregatekb.ru/upload/iblock/c8c/c8c55e58f0304b6ece391c3bfc6a1207.jpg,"Заводское наименование: 437030А-1301010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция сердцевины: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 104,7 (90000) Емкость, л: 5.8 Габариты (д*ш*в), мм: 823х106х722 Масса, кг: 17.2 Применение: автомобили МАЗ-437030 с двигателем «Deitz» BF04М1013FC, ММЗ Д 245.9, 245.30, 245.35, Cummins ISF 3,8",23176,3.2
4370-1301010 МАЗ с дв. 245.9 -540 (Зубренок),14581,http://agregatekb.ru/upload/iblock/690/69009cd502ae7c745b080f5c59c8dba8.jpg,4370-1301010 МАЗ с дв. 245.9 -540 (Зубренок),28000,
43336Ш-1301010 ЗИЛ-433360 с дв. 508.10 2-х ряд,14582,http://agregatekb.ru/upload/iblock/187/1874b8a4a7a082b3b0c3066e680c79d4.jpg,43336Ш-1301010 ЗИЛ-433360 с дв. 508.10 2-х ряд,25116,3.3
4331-1301010-01ВВ ЗИЛ-4331 Радиатор водяной (3-х ряд.),14584,http://agregatekb.ru/upload/iblock/48c/48c3d5b7d04ca8a897c8a99858a8e361.jpg,4331-1301010-01ВВ ЗИЛ-4331 Радиатор водяной (3-х ряд.),20530,
432720-1301010-11 Радиатор водяной (ЗИЛ-5301),14585,http://agregatekb.ru/upload/iblock/e36/e366c13e86ef1c9bd7e0c3d65bdf00d5.jpg,432720-1301010-11 ЗИЛ-5301 2-х ряд. БЫЧОК Радиатор охлаждения,10400,
4320Я8-1301010-10 УРАЛ Радиатор охлаждения,14586,http://agregatekb.ru/upload/iblock/ad5/ad56141b38af91753a206eb65104751e.jpg,4320Я8-1301010-10 УРАЛ Радиатор охлаждения (ШААЗ),30026,3.2
"4320Я5-1301010 УРАЛ Радиатор охлаждения (55571-1121-70,4320-70,4320-71 дв.536.02-10)",14587,http://agregatekb.ru/upload/iblock/480/480094ca27a9df2642d88b7ac83c6ee1.jpg,"4320Я5-1301010 УРАЛ Радиатор охлаждения (55571-1121-70,4320-70,4320-71 дв.536.02-10)",36234,3.3
"4320Б5-1301010 Радиатор охлаждения 3-х рядный медно-латунный УРАЛ 4320-4151-78, 43206-4151-79 c двиг. 536.02-10, Урал NEXT (ШААЗ)",14588,http://agregatekb.ru/upload/iblock/d3c/d3ce19f25dc8d71a62954c319c7f8e10.jpg,"Заводское наименование: 4320Б5-1301010 Технология изготовления: традиционная Исполнение радиатора: медно-латунное Конструкция сердцевины: трубчато-ленточная Рядность: 3 ряда Теплоотдача, кВт (ккал/ч): 178 (152990) Емкость, л: 8.5 Габариты (д*ш*в), мм: 770х168х968 Масса, кг: 25 Применение: автомобили УРАЛ 4320-4151-78, 43206-4151-79, 44202-3511-80 с двигателем ЯМЗ 53602-10",36202,3.3
"4320Б5-1172010 ОНВ УРАЛ-4320, 43206 с дв. ЯМЗ 536.02-10 (ШААЗ)",14589,http://agregatekb.ru/upload/iblock/ee8/ee8c12456851ac88a7b4bda14d44c5c7.jpg,"4320Б5-1172010 ОНВ УРАЛ-4320, 43206 с дв. ЯМЗ 536.02-10",23716,3.3
4320А-1172010 ОНВ (УРАЛ-4320 и мод-ции) Nocolok,14590,http://agregatekb.ru/upload/iblock/997/99704619030586c42208e4271233b4a1.jpg,4320А-1172010 ОНВ (УРАЛ-4320 и мод-ции) Nocolok,30187,3.3
